时间,平台,子品类,tb_item_id,品牌名,系列,名称,链接,图片,销量,销售额,片单价,价位段,片单价-人工,价格段-人工
2023Q3,dy,拉拉裤,'3525383481242877453,佳婴,氧气森林,【好物推荐】佳婴氧气森林XL拉拉裤超薄柔软透气纸尿裤超值新生儿,https://haohuo.jinritemai.com/views/product/detail?id=3525383481242877453,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/voloYCXQ_m_41f7d25e705abff7fc1839e0dac152ab_sx_284377_www800-800,326104,20890587.56,1元以下,1元以下,,
2023Q3,tmall,拉拉裤,651527734854,Huggies/好奇,柯基裤/软萌星人,加量不加价好奇软萌星人纸尿裤S48/M38/L32成长裤L32/XL28/XXL26,https://detail.tmall.com/item.htm?id=651527734854,//img.alicdn.com/imgextra/i1/6000000008163/O1CN01oQim652AAhy1Nj2si_!!6000000008163-0-sm.jpg,138489,20717635.66,2.15,2-2.5元,,
2023Q3,tmall,拉拉裤,555077389215,帮宝适,一级帮,帮宝适一级帮散热拉拉裤L/L+/XL/XXL/XXXL超薄透气尿不湿拍1得2包,https://detail.tmall.com/item.htm?id=555077389215,//img.alicdn.com/imgextra/i2/749385259/O1CN01aZ5J7Q1oifnBDuXt7_!!0-item_pic.jpg,113528,20237133.55,1.80,1-2元,,
2023Q3,tmall,拉拉裤,628683211455,爱酷熊,畅吸爱酷,爱酷熊拉拉裤夏天纸尿裤婴儿超薄透气男女宝宝专用新生夏季尿不湿,https://detail.tmall.com/item.htm?id=628683211455,//img.alicdn.com/imgextra/i1/2207787403691/O1CN01IqXgKS1d8WlA9Sem4_!!2207787403691.jpg,306526,19371688.49,0.58,1元以下,,
2023Q3,tmall,拉拉裤,614136958798,Huggies/好奇,小桃裤/铂金装,【百亿补贴】好奇铂金装拉拉裤XL136超薄透气尿不湿裤型纸尿裤,https://detail.tmall.com/item.htm?id=614136958798,//img.alicdn.com/imgextra/i1/685092642/O1CN01tzcpMs1VO5E2E0DeK_!!0-item_pic.jpg,44433,18305182.33,1.34,1-2元,,
2023Q3,tmall,拉拉裤,614124365141,BBC,Air Pro,babycare拉拉裤夏季Airpro日用超薄透气婴儿宝宝尿不湿尿片5包,https://detail.tmall.com/item.htm?id=614124365141,//img.alicdn.com/imgextra/i3/2275046294/O1CN01DOccxT1wMhies1GsQ_!!2-item_pic.png,36531,17414408.49,2.08,2-2.5元,,
2023Q3,dy,纸尿裤,'3597331692060294612,Huggies/好奇,小桃裤/铂金装,好奇Huggies铂金装小桃裤透气超薄柔软亲肤绵柔纸尿裤拉拉裤*3包,https://haohuo.jinritemai.com/views/product/detail?id=3597331692060294612,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/pUMQIGaB_m_f6eae18e6d84075e525a7a461a5fcb09_sx_300258_www800-800,95218,16433226.00,1.34,1-2元,,
2023Q3,dy,拉拉裤,'3612192010334784144,帮宝适,清新帮,帮宝适NB-XXXL码清新帮夏天拉拉裤纸尿裤轻薄透气 DY,https://haohuo.jinritemai.com/views/product/detail?id=3612192010334784144,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/NkzWzZD_m_e0ad1c86ca4f977efd2d04d1e8a0bacc_sx_1525076_www1600-1600,79465,15947985.00,1.44,1-2元,,
2023Q3,jd,纸尿裤,100003980995,帮宝适,清新帮,帮宝适清新帮纸尿裤S64片(4-8kg)新生儿尿裤尿不湿 超薄透气 干爽,https://item.jd.com/100003980995.html,http://img11.360buyimg.com/n1/jfs/t1/64367/19/24888/118872/6516d939F1ca074b5/dd55ab6de2349c7b.jpg,224693,15912910.04,1.44,1-2元,,
2023Q3,tmall,拉拉裤,626009535355,Huggies/好奇,小桃裤/铂金装,【百亿补贴】好奇铂金装拉拉裤XXL104婴儿超薄透气尿不湿纸尿裤,https://detail.tmall.com/item.htm?id=626009535355,//img.alicdn.com/imgextra/i1/685092642/O1CN01TMrq801VO5Du6UMNA_!!0-item_pic.jpg,35253,15834027.47,1.34,1-2元,,
