时间,平台,子品类,tb_item_id,alias_all_bid,品牌名,系列,名称,链接,图片,销量,销售额,片单价,价位段
2023Q4,tmall,拉拉裤,651527734854,48751,Huggies/好奇,柯基裤/软萌星人,加量不加价好奇软萌星人纸尿裤S48/M38/L32成长裤L32/XL28/XXL26,https://detail.tmall.com/item.htm?id=651527734854,//img.alicdn.com/imgextra/i1/6000000003809/O1CN014wgBE01e0ZWZ2F5OL_!!6000000003809-0-sm.jpg,403417,44029145.84,2.15,2-2.5元
2023Q4,tmall,拉拉裤,555077389215,274044,帮宝适,一级帮,帮宝适一级帮散热拉拉裤L/L+/XL/XXL/XXXL超薄透气尿不湿拍1得2包,https://detail.tmall.com/item.htm?id=555077389215,//img.alicdn.com/imgextra/i3/749385259/O1CN01e0iYZc1oifodWfIm6_!!0-item_pic.jpg,173045,27167296.08,1.80,1-2元
2023Q4,tmall,拉拉裤,628683211455,211072,爱酷熊,畅吸爱酷,爱酷熊拉拉裤秋冬超薄透气纸尿裤婴儿男女宝宝专用新初生尿不湿,https://detail.tmall.com/item.htm?id=628683211455,//img.alicdn.com/imgextra/i1/2207787403691/O1CN01WjZIi41d8WmH8FHLc_!!2-item_pic.png,413791,24840357.52,0.72,1元以下
2023Q4,jd,拉拉裤,100024157756,48751,Huggies/好奇,柯基裤/软萌星人,好奇（Huggies）软萌星人柯基裤成长裤XXL26片(15kg以上)加大号婴儿尿不湿拉拉裤,https://item.jd.com/100024157756.html,http://img11.360buyimg.com/n1/jfs/t1/233899/25/9687/74154/6592c04cF6a11a050/a9d2fcccd5570c3a.jpg,322259,23854056.66,2.15,2-2.5元
2023Q4,tmall,纸尿裤,575341251726,13067,BBC,皇室,babycare皇室狮子王国纸尿裤新生儿超薄透气婴儿宝宝尿不湿尿片*4,https://detail.tmall.com/item.htm?id=575341251726,//img.alicdn.com/imgextra/i3/2275046294/O1CN0171rIbu1wMhkTUzvRB_!!2-item_pic.png,61407,22680978.00,2.45,2-2.5元
2023Q4,tmall,拉拉裤,613267456701,48751,Huggies/好奇,皇家御裤,好奇皇家麒麟裤拉拉裤L38/XL30/XXL28/XXXL24,https://detail.tmall.com/item.htm?id=613267456701,//img.alicdn.com/imgextra/i3/6000000007134/O1CN01XyMnub22ZQRL6SdwJ_!!6000000007134-0-sm.jpg,155953,22632409.59,1.80,1-2元
2023Q4,jd,拉拉裤,100007023725,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装成长裤XXL74片(15kg以上)小桃裤加加大号婴儿尿不湿超薄,https://item.jd.com/100007023725.html,http://img11.360buyimg.com/n1/jfs/t1/244091/37/2014/80216/659554a0Fcbde05d7/930738de9d1215ef.jpg,145577,21047775.46,1.34,1-2元
2023Q4,jd,拉拉裤,7293773,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装成长裤XL96片(12-17kg)加大号婴儿尿不湿小桃裤超薄透气,https://item.jd.com/7293773.html,http://img11.360buyimg.com/n1/jfs/t1/242107/4/2193/80812/6595547aFef8620e0/69c5e6161df0ba58.jpg,137341,20933722.66,1.34,1-2元
2023Q4,jd,拉拉裤,100016961342,274044,帮宝适,清新帮,帮宝适清新帮拉拉裤XL84片(12-17kg)尿不湿尿裤成长裤 超薄透气 干爽,https://item.jd.com/100016961342.html,http://img11.360buyimg.com/n1/jfs/t1/224853/24/10862/173819/65926274Fde9d62d2/0f800889f2ef7e65.jpg,123588,20743786.70,1.44,1-2元
2023Q4,jd,拉拉裤,100019424298,13067,BBC,木法沙,babycare 皇室木法沙的王国拉拉裤尿不湿成长裤新升级箱装XXL56片(≥15kg),https://item.jd.com/100019424298.html,http://img11.360buyimg.com/n1/jfs/t1/243547/35/1367/102009/658eb6a2Fbe2c1920/9b04e4b7083333b0.jpg,103761,19683079.64,2.64,2.5-3.5元
2023Q4,dy,拉拉裤,'3597331692060294612,48751,Huggies/好奇,小桃裤/铂金装,好奇Huggies铂金装小桃裤透气超薄柔软亲肤绵柔纸尿裤拉拉裤*3包,https://haohuo.jinritemai.com/views/product/detail?id=3597331692060294612,https://lf6-cm.ecombdstatic.com/obj/ecom-shop-material/pUMQIGaB_m_f6eae18e6d84075e525a7a461a5fcb09_sx_300258_www800-800,113022,19303886.64,1.34,1-2元
2023Q4,jd,拉拉裤,100003198451,48751,Huggies/好奇,金装,好奇（Huggies）金装成长裤XL96片(12-17kg)加大号婴儿尿不湿超薄柔软透气,https://item.jd.com/100003198451.html,http://img11.360buyimg.com/n1/jfs/t1/241067/8/1872/74751/6592bee7F4241aa37/e000612156f672ba.jpg,175978,19120448.55,1.20,1-2元
2023Q4,dy,拉拉裤,'3612192010334784144,274044,帮宝适,清新帮,帮宝适NB-XXXL码清新帮拉拉裤纸尿裤轻薄透气 DY,https://haohuo.jinritemai.com/views/product/detail?id=3612192010334784144,https://lf6-cm.ecombdstatic.com/obj/ecom-shop-material/NkzWzZD_m_659e25a1a9a4e7dc2b117e3a2d2d78b6_sx_1316398_www1600-1600,100263,18949707.00,1.44,1-2元
2023Q4,dy,拉拉裤,'3525383481242877453,3876236,佳婴,氧气森林,【好物推荐】佳婴氧气森林XL拉拉裤超薄柔软透气纸尿裤超值新生儿,https://haohuo.jinritemai.com/views/product/detail?id=3525383481242877453,https://lf3-cm.ecombdstatic.com/obj/ecom-shop-material/voloYCXQ_m_41f7d25e705abff7fc1839e0dac152ab_sx_284377_www800-800,293972,18688913.67,0.81,1元以下
2023Q4,jd,拉拉裤,4508081,274044,帮宝适,一级帮,帮宝适一级帮拉拉裤®XL64片(12-17kg)尿不湿尿裤 超薄透气 散热,https://item.jd.com/4508081.html,http://img11.360buyimg.com/n1/jfs/t1/241938/9/1818/189010/659141c4F5aacfa8d/2f1c24eb8579b301.jpg,110677,18273922.70,1.80,1-2元
2023Q4,tmall,拉拉裤,614136958798,48751,Huggies/好奇,小桃裤/铂金装,【百亿补贴】好奇铂金装拉拉裤XL136超薄透气尿不湿裤型纸尿裤,https://detail.tmall.com/item.htm?id=614136958798,//img.alicdn.com/imgextra/i1/685092642/O1CN01tzcpMs1VO5E2E0DeK_!!0-item_pic.jpg,51149,17673365.77,1.34,1-2元
2023Q4,jd,拉拉裤,4508093,274044,帮宝适,一级帮,帮宝适一级帮拉拉裤®XXL50+6片(15kg以上)尿裤尿不湿 超薄透气 散热,https://item.jd.com/4508093.html,http://img11.360buyimg.com/n1/jfs/t1/225426/8/2838/185519/659141e3F68be00a5/532fab71512314e5.jpg,105099,17498464.54,1.80,1-2元
2023Q4,tmall,纸尿裤,617906836695,5159691,婴芽,婴芽系列,婴芽超薄透气纸尿裤l码婴儿拉拉裤xl男女宝宝专用s新生尿不湿xxl,https://detail.tmall.com/item.htm?id=617906836695,//img.alicdn.com/imgextra/i1/2206931663091/O1CN01T3s7vl1Yhj93xzOVm_!!2206931663091.jpg,305975,17333958.80,1.26,1-2元
2023Q4,jd,拉拉裤,100019424286,13067,BBC,木法沙,babycare 皇室木法沙的王国拉拉裤尿不湿成长裤新升级箱装XL60片(12-17kg),https://item.jd.com/100019424286.html,http://img11.360buyimg.com/n1/jfs/t1/248757/1/1247/104163/658eb6f7F3b21a4f2/33fd48b2417a65b1.jpg,88264,17253911.90,2.64,2.5-3.5元
2023Q4,tmall,拉拉裤,633835501092,274044,帮宝适,清新帮,【加量装】帮宝适清新帮拉拉裤L/XL/XXL/XXXL宝宝超薄裤型纸尿裤,https://detail.tmall.com/item.htm?id=633835501092,//img.alicdn.com/imgextra/i1/725677994/O1CN01sJ4I3X28vJ3vTYgbP_!!0-item_pic.jpg,116607,17243205.11,1.44,1-2元
2023Q4,tmall,拉拉裤,577755404525,13067,BBC,皇室,babycare皇室狮子王国拉拉裤超薄透气婴儿宝宝尿不湿尿片任选4包,https://detail.tmall.com/item.htm?id=577755404525,//img.alicdn.com/imgextra/i4/2275046294/O1CN01rfz8BR1wMhkU01C60_!!2-item_pic.png,45961,17132000.00,2.45,2-2.5元
2023Q4,jd,拉拉裤,100019424288,13067,BBC,木法沙,babycare 皇室木法沙王国拉拉裤尿不湿成长裤新升级箱装XXXL48片(≥17kg),https://item.jd.com/100019424288.html,http://img11.360buyimg.com/n1/jfs/t1/226750/13/10661/100880/65953edeF54dc6c24/3f7831bd690c1d62.jpg,88627,16715021.69,2.64,2.5-3.5元
2023Q4,tmall,拉拉裤,634491184225,347271,宜婴,梦想家,宜婴梦想家拉拉裤M-XXXXL超薄柔软宝宝学步裤干爽透气婴儿尿不湿,https://detail.tmall.com/item.htm?id=634491184225,//img.alicdn.com/imgextra/i4/839648224/O1CN01uYURym2Ace9nxQlLL_!!0-item_pic.jpg,378280,16675720.40,0.93,1元以下
2023Q4,jd,纸尿裤,4482954,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装纸尿裤M144片(6-11kg)中号婴儿尿不湿小桃裤裸感超薄透气,https://item.jd.com/4482954.html,http://img11.360buyimg.com/n1/jfs/t1/226804/24/5224/96313/6567f409Fefbd80b4/bff7fce222987226.jpg,120017,16668286.78,1.34,1-2元
2023Q4,dy,拉拉裤,'3482085810386379885,347271,宜婴,梦想家,【直播专享】宜婴梦想家纸尿裤婴儿拉拉裤宝宝超薄透气尿不湿,https://haohuo.jinritemai.com/views/product/detail?id=3482085810386379885,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/GJcUbUcR_m_26a0875bd101cf72c9814b7df35ff64e_sx_336912_www800-800,205866,16251440.75,0.93,1元以下
2023Q4,jd,拉拉裤,100014635147,13067,BBC,皇室,babycare皇室狮子王国皇冠LALA裤试用装XL码-4片（12-17kg）婴儿尿不湿,https://item.jd.com/100014635147.html,http://img11.360buyimg.com/n1/jfs/t1/115847/37/40376/117051/64b6a7a2Fca9b5065/c61da5bd47a6ef84.jpg,1650832,16045037.37,2.45,2-2.5元
2023Q4,tmall,拉拉裤,730610878880,274044,帮宝适,一级帮,帮宝适一级帮散热拉拉裤L/L+/XL/XXL/XXXL男女宝宝尿不湿5包装,https://detail.tmall.com/item.htm?id=730610878880,//img.alicdn.com/imgextra/i3/749385259/O1CN01kN3y5J1oifnLdbF10_!!2-item_pic.png,46367,15932400.00,1.80,1-2元
2023Q4,tmall,拉拉裤,654791983793,114153,BOBDOG/巴布豆,菠萝裤,【老爸抽检】天猫官方自营巴布豆新菠萝拉拉裤婴儿尿不湿XXL34片,https://detail.tmall.com/item.htm?id=654791983793,//img.alicdn.com/imgextra/i1/6000000007982/O1CN01ZCOnpB28poJHITx0V_!!6000000007982-0-sm.jpg,215434,15855285.60,1.12,1-2元
2023Q4,jd,拉拉裤,100009693199,274044,帮宝适,清新帮,帮宝适清新帮拉拉裤XXL68片(15kg以上)尿不湿尿裤成长裤 超薄透气 干爽,https://item.jd.com/100009693199.html,http://img11.360buyimg.com/n1/jfs/t1/242062/14/1832/169353/65913d6bF5e731d69/d3c152e4535ca80f.jpg,93620,15727918.81,1.44,1-2元
2023Q4,tmall,拉拉裤,626009535355,48751,Huggies/好奇,小桃裤/铂金装,【百亿补贴】好奇铂金装拉拉裤XXL104婴儿超薄透气尿不湿纸尿裤,https://detail.tmall.com/item.htm?id=626009535355,//img.alicdn.com/imgextra/i1/685092642/O1CN01TMrq801VO5Du6UMNA_!!0-item_pic.jpg,43312,14954522.34,1.34,1-2元
2023Q4,tmall,拉拉裤,628828920454,48663,BEABA,盛夏光年,碧芭宝贝盛夏光年婴儿纸尿裤超薄透气训练拉拉裤宝宝尿不湿S-3XL,https://detail.tmall.com/item.htm?id=628828920454,//img.alicdn.com/imgextra/i1/2200573698992/O1CN01Lwrxek2GIOKW4y59K_!!0-item_pic.jpg,156430,14754007.00,1.73,1-2元
2023Q4,jd,纸尿裤,1103187,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装纸尿裤S96片(4-8kg)新生儿小号婴儿尿不湿小桃裤裸感超薄,https://item.jd.com/1103187.html,http://img11.360buyimg.com/n1/jfs/t1/224825/23/8421/72110/659554cbFf911bca7/5c5714609fca85aa.jpg,177295,14749610.10,1.34,1-2元
2023Q4,tmall,拉拉裤,634262168401,6095679,布班迪,甄芯薄婴,布班迪医护级拉拉裤xl纸尿裤婴儿超薄透气男女宝宝专用新生尿不湿,https://detail.tmall.com/item.htm?id=634262168401,//img.alicdn.com/imgextra/i4/2210059030410/O1CN018Ujale1EtpFuKed5n_!!0-item_pic.jpg,254097,14426345.14,1.37,1-2元
2023Q4,tmall,纸尿裤,625433941440,48751,Huggies/好奇,小桃裤/铂金装,【臻选】好奇铂金装婴儿纸尿裤L100超薄透气尿不湿小桃裤,https://detail.tmall.com/item.htm?id=625433941440,//img.alicdn.com/imgextra/i3/685092642/O1CN01LSuJUO1VO5GS0SGAw_!!2-item_pic.png,65569,14279762.04,1.34,1-2元
2023Q4,tmall,拉拉裤,638471559620,274044,帮宝适,黑金帮,【全新升级】帮宝适黑金帮拉拉裤L/XL/XXL/XXXL透气裤型纸尿裤,https://detail.tmall.com/item.htm?id=638471559620,//img.alicdn.com/imgextra/i3/725677994/O1CN01MIfVtY28vJ3qY5zt6_!!0-item_pic.jpg,78097,13829473.51,3.09,2.5-3.5元
2023Q4,tmall,拉拉裤,615039521696,48751,Huggies/好奇,皇家御裤,好奇皇家御裤日夜用拉拉裤L/XL/XXL/XXXL尿不湿弱酸纸尿裤麒麟裤,https://detail.tmall.com/item.htm?id=615039521696,//img.alicdn.com/imgextra/i1/685092642/O1CN01tSn98E1VO5JiP5wm1_!!0-item_pic.jpg,108672,13600609.08,1.80,1-2元
2023Q4,tmall,拉拉裤,635175747542,274044,帮宝适,清新帮,帮宝适清新帮拉拉裤L104/XL84/XXL68/XXXL64男女宝宝尿裤拍1得2包,https://detail.tmall.com/item.htm?id=635175747542,//img.alicdn.com/imgextra/i3/749385259/O1CN01L0Plnk1oifobLuDQo_!!0-item_pic.jpg,87189,13560504.55,1.44,1-2元
2023Q4,tmall,拉拉裤,614124365141,13067,BBC,Air Pro,babycare拉拉裤airpro日用超薄透气婴儿男女宝宝尿不湿尿片5包,https://detail.tmall.com/item.htm?id=614124365141,//img.alicdn.com/imgextra/i1/2275046294/O1CN01OQPbTj1wMhkWv67aO_!!0-item_pic.jpg,32609,13554845.00,2.08,2-2.5元
2023Q4,tmall,纸尿裤,613453019327,13067,BBC,皇室,babycare皇室狮子王国纸尿裤超薄透气婴儿宝宝尿不湿Mini装任选,https://detail.tmall.com/item.htm?id=613453019327,//img.alicdn.com/imgextra/i4/2275046294/O1CN01xNrhG31wMhkFZiSMa_!!2275046294.jpg,302503,13377097.00,2.45,2-2.5元
2023Q4,dy,拉拉裤,'3485678842620847966,3876236,佳婴,氧气森林,好物推荐佳婴氧气森林纸尿裤薄柔透气便宜拉拉裤魔力吸超值尿不湿,https://haohuo.jinritemai.com/views/product/detail?id=3485678842620847966,https://lf6-cm.ecombdstatic.com/obj/ecom-shop-material/voloYCXQ_m_41f7d25e705abff7fc1839e0dac152ab_sx_284377_www800-800,215044,13187628.77,0.81,1元以下
2023Q4,tmall,拉拉裤,729563430545,13067,BBC,皇室Pro裸感,【立即抢购】babycare皇室pro裸感拉拉裤超薄透气婴儿宝宝尿不湿,https://detail.tmall.com/item.htm?id=729563430545,//img.alicdn.com/imgextra/i1/2275046294/O1CN01bmrGRh1wMhkVtbJvW_!!2-item_pic.png,32386,12762595.20,3.18,2.5-3.5元
2023Q4,jd,拉拉裤,100014968100,48751,Huggies/好奇,金装,好奇（Huggies）金装成长裤XXL74(15kg以上)加加大号婴儿尿不湿超薄拉拉裤,https://item.jd.com/100014968100.html,http://img11.360buyimg.com/n1/jfs/t1/234670/9/10660/104723/6592bf0cF402f23a9/1ec6e25c0990b943.jpg,119264,12629157.87,1.20,1-2元
2023Q4,tmall,拉拉裤,668470361853,13067,BBC,花苞裤,babycare山茶花拉拉裤花苞裤超薄透气亲肤婴儿宝宝尿不湿尿片2包,https://detail.tmall.com/item.htm?id=668470361853,//img.alicdn.com/imgextra/i4/2275046294/O1CN01cndKxy1wMhkWmRQPq_!!2-item_pic.png,40299,12616136.75,3.92,3.5元+
2023Q4,jd,纸尿裤,100003980995,274044,帮宝适,清新帮,帮宝适清新帮纸尿裤S64片(4-8kg)）尿裤尿不湿新生儿 婴儿 超薄透气干爽,https://item.jd.com/100003980995.html,http://img11.360buyimg.com/n1/jfs/t1/225697/13/10717/154072/65951d20Fd893a5d8/20d99c423c408b79.jpg,169677,12585371.17,1.44,1-2元
2023Q4,dy,拉拉裤,'3508113303643806243,3876236,佳婴,氧气森林,【好物推荐】佳婴氧气森林XL拉拉裤薄款柔软透气纸尿裤超值新生儿,https://haohuo.jinritemai.com/views/product/detail?id=3508113303643806243,https://p3-item.ecombdimg.com/img/ecom-shop-material/zasqTfLV_m_c7280f46f0c4af2fcd2c1f5daeacdc21_sx_1752890_www1125-1125~tplv-5mmsx3fupr-resize_q:1080:1080:q90.png,199176,12272658.89,0.81,1元以下
2023Q4,dy,纸尿裤,'3516124085753105289,274044,帮宝适,清新帮,【双11必入】帮宝适清新帮纸尿裤拉拉裤尿不湿超薄干爽透气能吸,https://haohuo.jinritemai.com/views/product/detail?id=3516124085753105289,https://lf6-cm.ecombdstatic.com/obj/ecom-shop-material/NkzWzZD_m_c12672f80691584515eccc8b2bd9671f_sx_306027_www1080-1080,151278,12136384.99,1.44,1-2元
