Sales Value(000 RMB),
洗发水 Top10品牌,FY2023
海飞丝,175788301116
kerastase/卡诗,139387079307
清扬,100652839657
KONO,74955671156
欧莱雅,70340489457
VS,54560038785
潘婷,51069001612
,50202761332
蜂花,39088047266
Schwarzkopf/施华蔻,37861206379
洗护套装 Top10品牌,FY2023
,
,
,
,
,
,
,
,
,
,
头发护理 Top10品牌,FY2023
kerastase/卡诗,104897305811
欧莱雅,56578848244
潘婷,56133951214
KIMTRUE,30949505761
fino,29762363794
Schwarzkopf/施华蔻,19389196626
,15969326987
蔓迪,15965363168
MOROCCANOIL,13503730405
lirusu/丽如素,10796087909
护发素 Top10品牌,FY2023
潘婷,40900285826
黑耀,27689559685
蜂花,20362986187
fino,7339853463
欧莱雅,4147077694
VS,3963864926
Schwarzkopf/施华蔻,3688547641
,3540846113
吕,3268917545
kerastase/卡诗,3232802352
头皮护理 Top10品牌,FY2023
kerastase/卡诗,20234812424
馥绿德雅,11923338434
章光101,9503979489
,5620349673
grow gorgeous,4252382361
修正,3482507337
蔻萝兰,3330620306
合生和,2767338800
L&rsquo;oreal professionnel/巴黎欧莱雅沙龙专属,2709586137
Mentholatum/曼秀雷敦,2536948832
干性洗发 Top10品牌,FY2023
Spes/诗裴丝,44147441111
BeFe,4550199703
fujiko,4212881757
伊风,2295766925
Batiste,2203253586
植观,2159133785
蔻萝兰,1082899317
SHISEIDO PROFESSIONAL/资生堂专业美发,1029612342
Living Proof,924329972
BABI,924154652
头皮清洁 Top10品牌,FY2023
科丽尼,3756405762
Spes/诗裴丝,3162196972
Christophe Robin,1512593211
馥绿德雅,1206562761
My.Organics,867285389
kerastase/卡诗,840143181
珂岸,457173747
KIMTRUE,384589197
Storymix,334077228
丝域,304282590
