,,,,,,,,,,
FACE POWDER,,,,,,,,,,
202307,,,,,,,,,,
対象メーカー,対象製品,容量,ECプラットフォーム,年月,店舗タイプ,店舗名,金額規模（元）,販売量規模（個数）,取引個数単価（元/1本あたり）,最低取引個数単価（元/1本あたり）
DECORTE,FACE POWDER,20g,Douyin,2023-07-01,EDT,通拓海外旗舰店,77262.0,489,158.0,158.0
DECORTE,FACE POWDER,20g,JD,2023-07-01,EKA,京东国际进口美妆自营免税店,592003.9,3631,163.04155879922888,161.7
DECORTE,FACE POWDER,20g,JD,2023-07-01,EKA_FSS,DECORTE黛珂京东自营官方旗舰店,306280.0,806,380.0,380.0
DECORTE,FACE POWDER,20g,Pin duo duo,2023-07-01,EDT,耀志个护海外专营店,202467.0,1509,134.17296222664015,133.0
DECORTE,FACE POWDER,20g,Pin duo duo,2023-07-01,EDT,佳发美妆进口专营店,125565.0,761,165.0,165.0
DECORTE,FACE POWDER,20g,Pin duo duo,2023-07-01,EDT,MI CHANG美妆海外专营店,23520.0,140,168.0,168.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,Anan海外购,178392.0,1064,167.66165413533835,121.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,嬉皮日妆,153111.0,960,159.490625,158.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,伊兰百露美妆,114370.0,763,149.89515072083879,218.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,生生妈美妆店,108792.0,360,302.2,300.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,cici小仙女,100488.0,636,158.0,158.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,喃喃家美妆,71945.0,472,152.42584745762713,150.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,荣妈美妆店,70306.0,226,311.08849557522126,315.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,脸妹脸掌柜,69384.0,588,118.0,118.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,Anne化妆品全球甄选,66008.0,466,141.6480686695279,138.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,美妆刺客小铺,56273.0,250,225.092,225.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,艾玛家韩国代购,45978.0,291,158.0,158.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,钱包黑洞,45850.0,305,150.327868852459,148.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,伊安彦的破店,41832.0,249,168.0,168.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,怎么肥四! 都想买!,41748.0,294,142.0,142.0
