平台,品牌,贸易形式,人群,药保属性,剂型,分类,月,sales_value,sales_volume
京东,21金维他,国内,儿童,OTC,片剂,钙+维生素+矿物质,2023-12-01,3012855.14,32030
京东,21金维他,国内,儿童,保健品,片剂,钙+维生素+矿物质,2023-12-01,61360.89,622
京东,21金维他,国内,儿童,健康食品,片剂,钙+维生素,2023-12-01,832.0,8
京东,21金维他,国内,儿童,健康食品,片剂,钙+维生素+矿物质,2023-12-01,67193.22,807
京东,21金维他,国内,孕妇,健康食品,片剂,钙+维生素+矿物质,2023-12-01,22424.4,225
京东,21金维他,国内,老年人,保健品,片剂,钙+其它,2023-12-01,5349.12,64
京东,21金维他,国内,老年人,保健品,片剂,钙+维生素+矿物质,2023-12-01,266525.11,1439
京东,21金维他,国内,老年人,健康食品,片剂,钙+其它,2023-12-01,2646.0,14
京东,21金维他,国内,老年人,健康食品,片剂,钙+维生素,2023-12-01,6874.48,105
京东,21金维他,国内,老年人,健康食品,片剂,钙+维生素+矿物质,2023-12-01,30288.519999999997,276
京东,21金维他,国内,通用,OTC,片剂,钙+维生素,2023-12-01,135477.58,1332
京东,21金维他,国内,通用,OTC,片剂,钙+维生素+矿物质,2023-12-01,209.44,2
京东,21金维他,国内,通用,保健品,片剂,钙+维生素+矿物质,2023-12-01,22376.31,448
京东,21金维他,国内,通用,健康食品,液体,单纯钙制剂,2023-12-01,7022.02,95
京东,21金维他,国内,通用,健康食品,片剂,钙+维生素,2023-12-01,12148.050000000001,157
京东,21金维他,国内,通用,健康食品,片剂,钙+维生素+矿物质,2023-12-01,150065.78,1815
京东,BY－HEALTH/汤臣倍健,国内,儿童,保健品,片剂,钙+其它,2023-12-01,469892.55999999994,3470
京东,BY－HEALTH/汤臣倍健,国内,儿童,保健品,片剂,钙+矿物质,2023-12-01,973133.24,9608
京东,BY－HEALTH/汤臣倍健,国内,儿童,保健品,片剂,钙+维生素+矿物质,2023-12-01,290082.56,2412
京东,BY－HEALTH/汤臣倍健,国内,儿童,健康食品,液体,钙+维生素,2023-12-01,67784.53,296
京东,BY－HEALTH/汤臣倍健,国内,儿童,健康食品,片剂,单纯钙制剂,2023-12-01,16490.73,174
京东,BY－HEALTH/汤臣倍健,国内,儿童,健康食品,片剂,钙+其它,2023-12-01,118019.41,844
京东,BY－HEALTH/汤臣倍健,国内,儿童,健康食品,片剂,钙+矿物质,2023-12-01,193840.9,2175
京东,BY－HEALTH/汤臣倍健,国内,儿童,健康食品,片剂,钙+维生素,2023-12-01,13913.93,146
京东,BY－HEALTH/汤臣倍健,国内,儿童,健康食品,片剂,钙+维生素+矿物质,2023-12-01,23273.16,268
京东,BY－HEALTH/汤臣倍健,国内,儿童,健康食品,胶囊,钙+矿物质,2023-12-01,107.0,1
京东,BY－HEALTH/汤臣倍健,国内,孕妇,保健品,片剂,钙+维生素,2023-12-01,86726.73000000001,968
京东,BY－HEALTH/汤臣倍健,国内,孕妇,保健品,片剂,钙+维生素+矿物质,2023-12-01,56319.68,304
京东,BY－HEALTH/汤臣倍健,国内,孕妇,健康食品,片剂,单纯钙制剂,2023-12-01,45.0,1
京东,BY－HEALTH/汤臣倍健,国内,孕妇,健康食品,片剂,钙+维生素,2023-12-01,11222.2,128
京东,BY－HEALTH/汤臣倍健,国内,孕妇,健康食品,胶囊,钙+维生素,2023-12-01,9572.0,79
京东,BY－HEALTH/汤臣倍健,国内,老年人,保健品,片剂,钙+其它,2023-12-01,11563440.809999999,55925
京东,BY－HEALTH/汤臣倍健,国内,老年人,保健品,片剂,钙+维生素+矿物质,2023-12-01,334550.87,2251
京东,BY－HEALTH/汤臣倍健,国内,老年人,健康食品,液体,钙+其它,2023-12-01,2122.0,10
京东,BY－HEALTH/汤臣倍健,国内,老年人,健康食品,液体,钙+维生素,2023-12-01,89.7,3
京东,BY－HEALTH/汤臣倍健,国内,老年人,健康食品,片剂,钙+其它,2023-12-01,973426.85,5448
京东,BY－HEALTH/汤臣倍健,国内,老年人,健康食品,片剂,钙+矿物质,2023-12-01,309.0,3
京东,BY－HEALTH/汤臣倍健,国内,老年人,健康食品,片剂,钙+维生素,2023-12-01,18242.07,343
京东,BY－HEALTH/汤臣倍健,国内,老年人,健康食品,片剂,钙+维生素+矿物质,2023-12-01,10335.24,130
京东,BY－HEALTH/汤臣倍健,国内,老年人,健康食品,胶囊,钙+维生素,2023-12-01,45556.11,461
京东,BY－HEALTH/汤臣倍健,国内,通用,保健品,片剂,单纯钙制剂,2023-12-01,271377.23,21186
京东,BY－HEALTH/汤臣倍健,国内,通用,保健品,片剂,钙+维生素,2023-12-01,2104483.27,23280
